caso com troca
iteração	 vencidas	 perdidas	 porcentagem	
1	1	0	1.0
2	1	1	0.5
3	1	2	0.3333333333333333
4	2	2	0.5
5	3	2	0.6
6	4	2	0.6666666666666666
7	5	2	0.7142857142857143
8	6	2	0.75
9	7	2	0.7777777777777778
10	7	3	0.7
11	7	4	0.6363636363636364
12	8	4	0.6666666666666666
13	8	5	0.6153846153846154
14	9	5	0.6428571428571429
15	9	6	0.6
16	10	6	0.625
17	11	6	0.6470588235294118
18	12	6	0.6666666666666666
19	13	6	0.6842105263157895
20	14	6	0.7
21	15	6	0.7142857142857143
22	16	6	0.7272727272727273
23	17	6	0.7391304347826086
24	17	7	0.7083333333333334
25	18	7	0.72
26	19	7	0.7307692307692307
27	20	7	0.7407407407407407
28	21	7	0.75
29	22	7	0.7586206896551724
30	23	7	0.7666666666666667
31	23	8	0.7419354838709677
32	24	8	0.75
33	25	8	0.7575757575757576
34	26	8	0.7647058823529411
35	26	9	0.7428571428571429
36	27	9	0.75
37	28	9	0.7567567567567568
38	29	9	0.7631578947368421
39	30	9	0.7692307692307693
40	30	10	0.75
41	31	10	0.7560975609756098
42	32	10	0.7619047619047619
43	32	11	0.7441860465116279
44	33	11	0.75
45	34	11	0.7555555555555555
46	34	12	0.7391304347826086
47	35	12	0.7446808510638298
48	36	12	0.75
49	36	13	0.7346938775510204
50	37	13	0.74
51	38	13	0.7450980392156863
52	38	14	0.7307692307692307
53	39	14	0.7358490566037735
54	39	15	0.7222222222222222
55	40	15	0.7272727272727273
56	41	15	0.7321428571428571
57	42	15	0.7368421052631579
58	43	15	0.7413793103448276
59	44	15	0.7457627118644068
60	44	16	0.7333333333333333
61	44	17	0.7213114754098361
62	45	17	0.7258064516129032
63	46	17	0.7301587301587301
64	46	18	0.71875
65	47	18	0.7230769230769231
66	48	18	0.7272727272727273
67	48	19	0.7164179104477612
68	49	19	0.7205882352941176
69	49	20	0.7101449275362319
70	49	21	0.7
71	50	21	0.704225352112676
72	50	22	0.6944444444444444
73	50	23	0.684931506849315
74	51	23	0.6891891891891891
75	52	23	0.6933333333333334
76	52	24	0.6842105263157895
77	53	24	0.6883116883116883
78	54	24	0.6923076923076923
79	54	25	0.6835443037974683
80	54	26	0.675
81	55	26	0.6790123456790124
82	56	26	0.6829268292682927
83	56	27	0.6746987951807228
84	57	27	0.6785714285714286
85	58	27	0.6823529411764706
86	59	27	0.686046511627907
87	59	28	0.6781609195402298
88	60	28	0.6818181818181818
89	61	28	0.6853932584269663
90	61	29	0.6777777777777778
91	62	29	0.6813186813186813
92	62	30	0.6739130434782609
93	63	30	0.6774193548387096
94	64	30	0.6808510638297872
95	64	31	0.6736842105263158
96	64	32	0.6666666666666666
97	64	33	0.6597938144329897
98	65	33	0.6632653061224489
99	66	33	0.6666666666666666
100	66	34	0.66
101	66	35	0.6534653465346535
102	67	35	0.6568627450980392
103	68	35	0.6601941747572816
104	68	36	0.6538461538461539
105	69	36	0.6571428571428571
106	70	36	0.660377358490566
107	71	36	0.6635514018691588
108	72	36	0.6666666666666666
109	73	36	0.6697247706422018
110	73	37	0.6636363636363637
111	73	38	0.6576576576576577
112	74	38	0.6607142857142857
113	74	39	0.6548672566371682
114	74	40	0.6491228070175439
115	74	41	0.6434782608695652
116	75	41	0.646551724137931
117	75	42	0.6410256410256411
118	76	42	0.6440677966101694
119	77	42	0.6470588235294118
120	78	42	0.65
121	78	43	0.6446280991735537
122	79	43	0.6475409836065574
123	80	43	0.6504065040650406
124	81	43	0.6532258064516129
125	82	43	0.656
126	82	44	0.6507936507936508
127	83	44	0.6535433070866141
128	84	44	0.65625
129	85	44	0.6589147286821705
