caso sem troca
iteração	 vencidas	 perdidas	 porcentagem	
1	0	1	0.0
2	1	1	0.5
3	2	1	0.6666666666666666
4	2	2	0.5
5	2	3	0.4
6	2	4	0.3333333333333333
7	2	5	0.2857142857142857
8	2	6	0.25
9	3	6	0.3333333333333333
10	4	6	0.4
11	5	6	0.45454545454545453
12	5	7	0.4166666666666667
13	5	8	0.38461538461538464
14	6	8	0.42857142857142855
15	6	9	0.4
16	6	10	0.375
17	6	11	0.35294117647058826
18	6	12	0.3333333333333333
19	6	13	0.3157894736842105
20	6	14	0.3
21	7	14	0.3333333333333333
22	8	14	0.36363636363636365
23	8	15	0.34782608695652173
24	9	15	0.375
25	9	16	0.36
26	9	17	0.34615384615384615
27	9	18	0.3333333333333333
28	9	19	0.32142857142857145
29	9	20	0.3103448275862069
30	9	21	0.3
31	9	22	0.2903225806451613
32	9	23	0.28125
33	9	24	0.2727272727272727
34	9	25	0.2647058823529412
35	10	25	0.2857142857142857
36	10	26	0.2777777777777778
37	10	27	0.2702702702702703
38	10	28	0.2631578947368421
39	11	28	0.28205128205128205
40	12	28	0.3
41	12	29	0.2926829268292683
42	12	30	0.2857142857142857
43	13	30	0.3023255813953488
44	14	30	0.3181818181818182
45	14	31	0.3111111111111111
46	14	32	0.30434782608695654
47	14	33	0.2978723404255319
48	15	33	0.3125
49	16	33	0.32653061224489793
50	17	33	0.34
51	18	33	0.35294117647058826
52	19	33	0.36538461538461536
53	19	34	0.3584905660377358
54	19	35	0.35185185185185186
55	20	35	0.36363636363636365
56	20	36	0.35714285714285715
57	20	37	0.3508771929824561
58	20	38	0.3448275862068966
59	20	39	0.3389830508474576
60	20	40	0.3333333333333333
61	20	41	0.32786885245901637
62	20	42	0.3225806451612903
63	20	43	0.31746031746031744
64	21	43	0.328125
65	22	43	0.3384615384615385
66	22	44	0.3333333333333333
67	23	44	0.34328358208955223
68	23	45	0.3382352941176471
69	24	45	0.34782608695652173
70	24	46	0.34285714285714286
71	24	47	0.3380281690140845
72	24	48	0.3333333333333333
73	24	49	0.3287671232876712
74	24	50	0.32432432432432434
75	25	50	0.3333333333333333
76	25	51	0.32894736842105265
77	26	51	0.33766233766233766
78	27	51	0.34615384615384615
79	28	51	0.35443037974683544
80	28	52	0.35
81	28	53	0.345679012345679
82	28	54	0.34146341463414637
83	28	55	0.3373493975903614
84	28	56	0.3333333333333333
85	29	56	0.3411764705882353
86	30	56	0.3488372093023256
87	31	56	0.3563218390804598
88	31	57	0.3522727272727273
89	31	58	0.34831460674157305
90	31	59	0.34444444444444444
91	31	60	0.34065934065934067
92	31	61	0.33695652173913043
93	32	61	0.34408602150537637
94	33	61	0.35106382978723405
95	33	62	0.3473684210526316
96	34	62	0.3541666666666667
97	34	63	0.35051546391752575
98	34	64	0.3469387755102041
99	34	65	0.3434343434343434
100	35	65	0.35
101	35	66	0.3465346534653465
102	35	67	0.3431372549019608
103	35	68	0.33980582524271846
104	35	69	0.33653846153846156
105	35	70	0.3333333333333333
106	35	71	0.330188679245283
107	35	72	0.32710280373831774
108	36	72	0.3333333333333333
109	37	72	0.3394495412844037
110	37	73	0.33636363636363636
111	37	74	0.3333333333333333
112	38	74	0.3392857142857143
113	38	75	0.336283185840708
114	38	76	0.3333333333333333
115	39	76	0.3391304347826087
116	39	77	0.33620689655172414
117	40	77	0.3418803418803419
118	40	78	0.3389830508474576
119	40	79	0.33613445378151263
120	41	79	0.3416666666666667
121	42	79	0.34710743801652894
122	42	80	0.3442622950819672
123	42	81	0.34146341463414637
124	43	81	0.3467741935483871
125	44	81	0.352
126	44	82	0.3492063492063492
127	44	83	0.3464566929133858
128	44	84	0.34375
129	44	85	0.34108527131782945
130	45	85	0.34615384615384615
131	45	86	0.3435114503816794
132	45	87	0.3409090909090909
133	46	87	0.3458646616541353
134	46	88	0.34328358208955223
135	47	88	0.34814814814814815
136	47	89	0.34558823529411764
137	48	89	0.35036496350364965
138	49	89	0.35507246376811596
139	49	90	0.35251798561151076
140	50	90	0.35714285714285715
141	50	91	0.3546099290780142
142	50	92	0.352112676056338
143	51	92	0.35664335664335667
144	51	93	0.3541666666666667
145	51	94	0.35172413793103446
146	51	95	0.3493150684931507
147	52	95	0.35374149659863946
148	52	96	0.35135135135135137
149	53	96	0.35570469798657717
150	53	97	0.35333333333333333
151	53	98	0.3509933774834437
152	53	99	0.34868421052631576
153	54	99	0.35294117647058826
154	54	100	0.35064935064935066
155	54	101	0.34838709677419355
156	54	102	0.34615384615384615
157	54	103	0.34394904458598724
158	55	103	0.34810126582278483
159	55	104	0.34591194968553457
160	55	105	0.34375
161	56	105	0.34782608695652173
162	57	105	0.35185185185185186
163	58	105	0.3558282208588957
164	58	106	0.35365853658536583
165	58	107	0.3515151515151515
166	59	107	0.35542168674698793
167	59	108	0.3532934131736527
168	60	108	0.35714285714285715
169	61	108	0.3609467455621302
170	61	109	0.3588235294117647
171	61	110	0.3567251461988304
172	61	111	0.3546511627906977
173	62	111	0.3583815028901734
174	62	112	0.3563218390804598
175	63	112	0.36
176	63	113	0.35795454545454547
177	63	114	0.3559322033898305
178	63	115	0.3539325842696629
179	63	116	0.35195530726256985
180	64	116	0.35555555555555557
181	65	116	0.35911602209944754
182	65	117	0.35714285714285715
183	65	118	0.3551912568306011
184	65	119	0.3532608695652174
185	65	120	0.35135135135135137
186	65	121	0.34946236559139787
187	66	121	0.35294117647058826
188	66	122	0.35106382978723405
189	66	123	0.3492063492063492
190	66	124	0.3473684210526316
191	67	124	0.3507853403141361
192	67	125	0.3489583333333333
193	67	126	0.3471502590673575
194	67	127	0.34536082474226804
195	67	128	0.3435897435897436
196	68	128	0.3469387755102041
197	68	129	0.34517766497461927
198	69	129	0.3484848484848485
199	69	130	0.34673366834170855
200	70	130	0.35
201	71	130	0.35323383084577115
202	71	131	0.35148514851485146
203	72	131	0.35467980295566504
204	73	131	0.35784313725490197
205	74	131	0.36097560975609755
206	74	132	0.3592233009708738
207	74	133	0.357487922705314
208	74	134	0.3557692307692308
209	74	135	0.35406698564593303
210	75	135	0.35714285714285715
211	75	136	0.35545023696682465
212	75	137	0.35377358490566035
213	75	138	0.352112676056338
214	76	138	0.35514018691588783
215	76	139	0.35348837209302325
216	76	140	0.35185185185185186
217	77	140	0.3548387096774194
218	78	140	0.3577981651376147
219	78	141	0.3561643835616438
220	79	141	0.35909090909090907
221	79	142	0.3574660633484163
222	79	143	0.35585585585585583
223	79	144	0.3542600896860987
224	79	145	0.35267857142857145
225	79	146	0.3511111111111111
226	79	147	0.3495575221238938
227	79	148	0.34801762114537443
228	79	149	0.34649122807017546
229	80	149	0.34934497816593885
230	80	150	0.34782608695652173
231	81	150	0.35064935064935066
232	81	151	0.34913793103448276
233	81	152	0.34763948497854075
234	81	153	0.34615384615384615
235	81	154	0.3446808510638298
236	81	155	0.3432203389830508
237	81	156	0.34177215189873417
238	82	156	0.3445378151260504
239	82	157	0.34309623430962344
240	83	157	0.3458333333333333
241	83	158	0.34439834024896265
242	84	158	0.34710743801652894
243	84	159	0.345679012345679
244	84	160	0.3442622950819672
245	84	161	0.34285714285714286
246	84	162	0.34146341463414637
247	85	162	0.3441295546558704
248	86	162	0.3467741935483871
249	86	163	0.3453815261044177
250	86	164	0.344
251	86	165	0.3426294820717131
252	87	165	0.34523809523809523
253	87	166	0.3438735177865613
254	87	167	0.3425196850393701
255	88	167	0.34509803921568627
256	88	168	0.34375
257	88	169	0.3424124513618677
258	88	170	0.34108527131782945
259	88	171	0.33976833976833976
260	88	172	0.3384615384615385
261	88	173	0.3371647509578544
262	88	174	0.33587786259541985
263	89	174	0.33840304182509506
264	90	174	0.3409090909090909
265	91	174	0.3433962264150943
266	91	175	0.34210526315789475
267	91	176	0.3408239700374532
268	91	177	0.33955223880597013
269	91	178	0.3382899628252788
270	91	179	0.337037037037037
271	91	180	0.33579335793357934
272	91	181	0.33455882352941174
273	91	182	0.3333333333333333
274	92	182	0.3357664233576642
275	92	183	0.33454545454545453
276	92	184	0.3333333333333333
277	93	184	0.33574007220216606
278	93	185	0.3345323741007194
279	93	186	0.3333333333333333
280	94	186	0.3357142857142857
281	94	187	0.33451957295373663
282	95	187	0.33687943262411346
283	96	187	0.3392226148409894
284	96	188	0.3380281690140845
285	96	189	0.3368421052631579
286	97	189	0.33916083916083917
287	97	190	0.33797909407665505
288	97	191	0.3368055555555556
289	97	192	0.3356401384083045
290	98	192	0.33793103448275863
291	98	193	0.33676975945017185
292	99	193	0.339041095890411
293	99	194	0.3378839590443686
294	100	194	0.3401360544217687
295	100	195	0.3389830508474576
296	100	196	0.33783783783783783
297	100	197	0.3367003367003367
298	101	197	0.3389261744966443
299	102	197	0.3411371237458194
300	102	198	0.34
301	102	199	0.3388704318936877
302	103	199	0.34105960264900664
303	104	199	0.3432343234323432
304	104	200	0.34210526315789475
305	105	200	0.3442622950819672
306	106	200	0.3464052287581699
307	106	201	0.34527687296416937
308	107	201	0.3474025974025974
309	107	202	0.34627831715210355
310	107	203	0.34516129032258064
311	108	203	0.34726688102893893
312	108	204	0.34615384615384615
313	109	204	0.34824281150159747
314	109	205	0.3471337579617834
315	110	205	0.3492063492063492
316	110	206	0.34810126582278483
317	110	207	0.3470031545741325
318	110	208	0.34591194968553457
319	110	209	0.3448275862068966
320	110	210	0.34375
321	111	210	0.34579439252336447
322	111	211	0.3447204968944099
323	112	211	0.34674922600619196
324	112	212	0.345679012345679
325	113	212	0.3476923076923077
326	113	213	0.34662576687116564
327	113	214	0.345565749235474
328	114	214	0.3475609756097561
329	114	215	0.3465045592705167
330	114	216	0.34545454545454546
331	114	217	0.34441087613293053
332	114	218	0.3433734939759036
333	114	219	0.34234234234234234
334	115	219	0.344311377245509
335	116	219	0.34626865671641793
336	116	220	0.34523809523809523
337	116	221	0.34421364985163205
338	116	222	0.3431952662721893
339	116	223	0.3421828908554572
340	117	223	0.34411764705882353
341	117	224	0.34310850439882695
342	117	225	0.34210526315789475
343	117	226	0.34110787172011664
344	117	227	0.34011627906976744
345	118	227	0.34202898550724636
346	118	228	0.34104046242774566
347	118	229	0.3400576368876081
348	119	229	0.34195402298850575
349	119	230	0.34097421203438394
350	120	230	0.34285714285714286
351	121	230	0.34472934472934474
352	121	231	0.34375
353	121	232	0.34277620396600567
354	121	233	0.3418079096045198
355	121	234	0.3408450704225352
356	122	234	0.34269662921348315
357	122	235	0.34173669467787116
358	122	236	0.3407821229050279
359	123	236	0.3426183844011142
360	123	237	0.3416666666666667
361	124	237	0.34349030470914127
362	125	237	0.3453038674033149
363	125	238	0.3443526170798898
364	125	239	0.3434065934065934
365	125	240	0.3424657534246575
366	126	240	0.3442622950819672
367	126	241	0.34332425068119893
368	126	242	0.3423913043478261
369	126	243	0.34146341463414637
370	126	244	0.34054054054054056
371	126	245	0.33962264150943394
372	126	246	0.3387096774193548
373	127	246	0.34048257372654156
374	127	247	0.339572192513369
375	127	248	0.33866666666666667
376	127	249	0.3377659574468085
377	127	250	0.33687002652519893
378	127	251	0.335978835978836
379	127	252	0.33509234828496043
380	127	253	0.33421052631578946
381	127	254	0.3333333333333333
382	127	255	0.3324607329842932
383	127	256	0.33159268929503916
384	127	257	0.3307291666666667
385	127	258	0.32987012987012987
386	128	258	0.3316062176165803
387	128	259	0.330749354005168
388	128	260	0.32989690721649484
389	128	261	0.32904884318766064
390	128	262	0.3282051282051282
391	128	263	0.3273657289002558
392	129	263	0.32908163265306123
393	129	264	0.3282442748091603
394	130	264	0.3299492385786802
395	130	265	0.3291139240506329
396	130	266	0.3282828282828283
397	131	266	0.32997481108312343
398	131	267	0.32914572864321606
399	132	267	0.3308270676691729
400	133	267	0.3325
401	134	267	0.3341645885286783
402	134	268	0.3333333333333333
403	135	268	0.3349875930521092
404	136	268	0.33663366336633666
405	136	269	0.3358024691358025
406	136	270	0.33497536945812806
407	137	270	0.3366093366093366
408	137	271	0.33578431372549017
409	138	271	0.3374083129584352
410	139	271	0.33902439024390246
411	140	271	0.340632603406326
412	140	272	0.33980582524271846
413	141	272	0.3414043583535109
414	142	272	0.34299516908212563
415	143	272	0.344578313253012
416	143	273	0.34375
417	144	273	0.34532374100719426
418	145	273	0.34688995215311
419	146	273	0.34844868735083534
420	146	274	0.3476190476190476
421	147	274	0.3491686460807601
422	147	275	0.34834123222748814
423	148	275	0.34988179669030733
424	149	275	0.35141509433962265
425	149	276	0.35058823529411764
426	150	276	0.352112676056338
427	150	277	0.351288056206089
428	150	278	0.35046728971962615
429	150	279	0.34965034965034963
430	150	280	0.3488372093023256
431	150	281	0.3480278422273782
432	150	282	0.3472222222222222
433	150	283	0.3464203233256351
434	151	283	0.347926267281106
435	152	283	0.34942528735632183
436	153	283	0.35091743119266056
437	154	283	0.3524027459954233
438	154	284	0.3515981735159817
439	154	285	0.35079726651480636
440	154	286	0.35
441	154	287	0.3492063492063492
442	154	288	0.34841628959276016
443	154	289	0.3476297968397291
444	154	290	0.34684684684684686
445	154	291	0.34606741573033706
446	154	292	0.3452914798206278
447	155	292	0.34675615212527966
448	156	292	0.3482142857142857
449	156	293	0.34743875278396436
450	156	294	0.3466666666666667
451	156	295	0.3458980044345898
452	156	296	0.34513274336283184
453	157	296	0.3465783664459161
454	157	297	0.3458149779735683
455	157	298	0.34505494505494505
456	157	299	0.3442982456140351
457	158	299	0.34573304157549234
458	158	300	0.34497816593886466
459	158	301	0.3442265795206972
460	159	301	0.3456521739130435
461	160	301	0.3470715835140998
462	160	302	0.3463203463203463
463	160	303	0.34557235421166305
464	161	303	0.34698275862068967
465	161	304	0.34623655913978496
466	161	305	0.34549356223175964
467	162	305	0.3468950749464668
468	162	306	0.34615384615384615
469	163	306	0.34754797441364604
470	164	306	0.34893617021276596
471	164	307	0.3481953290870488
472	164	308	0.3474576271186441
